uid,city,gps,pictures,surface details,quantity,Notes
683439,manhattan,"40.76579, -73.98769",683439_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/ffdde0e857c545fa1382f6cfddf285d4/375d5b3a),"small-rooftop-entrance,skylight,small-building","1, 1, 1",
214400,manhattan,"40.76564, -73.98772",214400_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/fa7a79a7d57e35ac618704aa781d15a3/81421632),"small-rooftop-entrance,small-building","1, 2",
389711,manhattan,"40.7656, -73.98781",389711_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/a862a3fbc35443d2a972290784337d14/2e29018b),"ac-unit,small-rooftop-entrance","1, 2",
496092,manhattan,"40.76583, -73.98963",496092_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/9a0fa724f8cbf6b901dba45d5d20d4f9/6951728d),"multi-level,small-rooftop-entrance,ac-unit,air-vents","2, 4, 2, 2",
1189860,manhattan,"40.76555, -73.98854",1189860_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/cf532051c66233c29e391afc7173326a/00685787),"multi-level,enclosed-water-tower,air-vents,human-occupation,seating,small-building","1, 8, 1, 28, 1, 2",
716048,manhattan,"40.76537, -73.98791",716048_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/01b62d55e6c5618a6330f0a53f67e074/cf98e968),"air-vents,small-building,small-rooftop-entrance,skylight","1, 1, 1",
354956,manhattan,"40.76531, -73.98794",354956_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/8a2eb225c0cc17178744dfb75ef78b06/48be01bb),small-rooftop-entrance,1,
11550,manhattan,"40.76526, -73.98802",11550_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/edb71db7d42f35f508be69489248d81d/7940d4a6),"small-rooftop-entrance,skylight","1, 1",
57778,manhattan,"40.7652, -73.98806",57778_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/0a555ba9beb215e147a003b5f2754b47/4f4c6c03),"small-rooftop-entrance,skylight","1, 1",
264986,manhattan,"40.76512, -73.98806",264986_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/7fe4856d7ec79785bb294956c226c168/59d872c3),"small-rooftop-entrance,skylight,air-vents","1, 1, 1",
10632,manhattan,"40.76508, -73.98816",10632_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/6d5555512d070b312291c91b2f6bbb85/d6ad06d6),small-rooftop-entrance,1,
584313,manhattan,"40.76502, -73.9882",584313_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/85ebee35c11cf31b624c0805cd617ef8/467d52c4),"small-rooftop-entrance,skylight","1, 1",
207395,manhattan,"40.76497, -73.98826",207395_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/bc817a7c19f434da31ef5fe84b83b237/f78658d9),"small-rooftop-entrance,ac-unit","1, 1",
465078,manhattan,"40.76513, -73.98843",465078_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/54a63551003b024fb394a2e0149a82df/424d75b1),"small-rooftop-entrance,skylight","1, 1",
537429,manhattan,"40.76516, -73.9885",537429_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/18fa9232f6e6f20eaee0f258387439fe/324a4f22),small-rooftop-entrance,1,
155383,manhattan,"40.76518, -73.98858",155383_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/5189cced1c468db411b5eab69364ebbb/2b8d1f28),"small-rooftop-entrance,air-vents","2, 1",
